asset,horizon_s,term,coef,se,pval,nobs,r2
ES,125,emo_happy,0.23268549255733056,0.18838176254332348,0.21676330939973587,1764,0.0013348595772805227
ES,125,emo_surprise,3.4469631283417796,3.2296999859559734,0.28584975980912786,1764,0.0013348595772805227
ES,125,emo_anxious,0.1407985478180668,0.15626395264211781,0.3675722379298576,1764,0.0013348595772805227
ES,125,pre_px_60,0.0017003088522144006,0.028942987747757287,0.9531537568132565,1764,0.0013348595772805227
ES,150,Intercept,0.06962416982636632,0.20731319879333318,0.7369911421463908,1764,0.0014004051949910723
ES,150,emo_happy,-0.050859182237008915,0.27232133479434883,0.8518475154542205,1764,0.0014004051949910723
ES,150,emo_surprise,2.8105562769989696,3.112164762721451,0.3664795971298549,1764,0.0014004051949910723
ES,150,emo_anxious,-0.10705661598802893,0.20735483847413577,0.6056472102844315,1764,0.0014004051949910723
ES,150,pre_px_60,0.004503589222894976,0.02590322985076858,0.8619738604628447,1764,0.0014004051949910723
ES,175,Intercept,-0.06014204402922586,0.10150740618559832,0.5535230365369594,1764,0.004479256340575777
ES,175,emo_happy,0.27733407820911093,0.22843898016307737,0.22473241863386995,1764,0.004479256340575777
ES,175,emo_surprise,3.443088366817339,3.2890370503582265,0.2951743852702491,1764,0.004479256340575777
ES,175,emo_anxious,0.03465145774279613,0.10151727050262016,0.7328509556460661,1764,0.004479256340575777
ES,175,pre_px_60,0.05062758090493018,0.04706853979764407,0.28209991841239446,1764,0.004479256340575777
ES,200,Intercept,0.020910849763711284,0.10878548321692641,0.8475691301635822,1764,0.005131314300668599
ES,200,emo_happy,0.19355551015485456,0.18306077293317624,0.2903613474074297,1764,0.005131314300668599
ES,200,emo_surprise,2.979264230667432,3.0934577046626286,0.3355046225914833,1764,0.005131314300668599
ES,200,emo_anxious,-0.046465190121820654,0.11037403722419305,0.6737701630884613,1764,0.005131314300668599
ES,200,pre_px_60,0.04637730945980477,0.020675317276032536,0.02488879113983905,1764,0.005131314300668599
ES,225,Intercept,0.14041665057075808,0.12051250262991081,0.24395321601313935,1764,0.00023950902435510013
ES,225,emo_happy,-0.16579349839797378,0.18712223985308085,0.37560832967186353,1764,0.00023950902435510013
ES,225,emo_surprise,-0.1933475742481039,0.13350755798726507,0.1475570854420176,1764,0.00023950902435510013
ES,225,emo_anxious,-0.15808064312464593,0.12082743492851082,0.19076565443903137,1764,0.00023950902435510013
ES,225,pre_px_60,-0.010932836925820946,0.02368579289045836,0.6443840948732174,1764,0.00023950902435510013
ES,250,Intercept,0.06149012994741154,0.1038699033274172,0.5538560864317938,1764,0.001803535935424594
ES,250,emo_happy,0.057581858601811,0.1543293679402627,0.7090664406517015,1764,0.001803535935424594
ES,250,emo_surprise,2.878118890164433,2.9550052511230662,0.33006598654144337,1764,0.001803535935424594
ES,250,emo_anxious,-0.06249207872166271,0.10404629809754147,0.5480944510639835,1764,0.001803535935424594
ES,250,pre_px_60,0.016536748383506345,0.02602907056844446,0.5252207525201569,1764,0.001803535935424594
ES,275,Intercept,0.19267753666927875,0.08770419847789745,0.02802743978159745,1764,0.005545255190868459
ES,275,emo_happy,0.004270275125642341,0.17202271892798077,0.9801954258494874,1764,0.005545255190868459
ES,275,emo_surprise,2.72583404330528,2.834499147597623,0.3362187208413375,1764,0.005545255190868459
ES,275,emo_anxious,-0.19950087807216332,0.08781357295867923,0.02309446237813447,1764,0.005545255190868459
ES,275,pre_px_60,0.045110573141071725,0.027836828612528355,0.10511726276022657,1764,0.005545255190868459
ES,300,Intercept,-0.0050357149831094655,0.18145105738351727,0.9778595749811492,1764,0.00686930378556927
ES,300,emo_happy,-3.2095949383857296,1.8775568463029138,0.0873670948279607,1764,0.00686930378556927
ES,300,emo_surprise,3.0780962281812414,3.115427425737802,0.32314417017323727,1764,0.00686930378556927
ES,300,emo_anxious,-0.010876010249749754,0.18142281107403793,0.9521967183774076,1764,0.00686930378556927
